"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1925","Invalid Auth Test","Surefire suite","2026-08-18","passed","2026-08-18","com.example.tests.AuthTests","Surefire test","com.example.tests.AuthTests","invalidAuthTest"
"","2501","Valid Auth Test","Surefire suite","2026-08-18","passed","2026-08-18","com.example.tests.AuthTests","Surefire test","com.example.tests.AuthTests","validAuthTest"
"","1508","Invalid Auth Test","Surefire suite","2026-08-18","passed","2026-08-18","com.example.tests.AuthTests","Surefire test","com.example.tests.AuthTests","invalidAuthTest"
