"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Страница авторизации","1","UI-компоненты","0","0","Проверка работы скрытого режима поля для ввода пароля","0"
"0","Страница авторизации","0","UI-компоненты","1","0","Тестирование клавиатурной доступности","0"
"0","Страница авторизации","0","Авторизация пользователя","2","0","Проверка корректности обработки неверных данных","0"
"0","Страница авторизации","0","Авторизация пользователя","1","0","Проверка корректного входа в систему","0"
