"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Страница авторизации","0","Авторизация пользователя","0","2","Проверка корректности обработки неверных данных","0"
"0","Страница авторизации","0","Авторизация пользователя","0","1","Проверка корректного входа в систему","0"
"1","Страница авторизации","0","Авторизация пользователя","0","0","","0"
