"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Invalid Auth Test","Surefire suite","2026-08-18","skipped","2026-08-18","com.example.tests.AuthTests","Surefire test","com.example.tests.AuthTests","invalidAuthTest"
"","1","Valid Auth Test","Surefire suite","2026-08-18","skipped","2026-08-18","com.example.tests.AuthTests","Surefire test","com.example.tests.AuthTests","validAuthTest"
"","1","Invalid Auth Test","Surefire suite","2026-08-18","skipped","2026-08-18","com.example.tests.AuthTests","Surefire test","com.example.tests.AuthTests","invalidAuthTest"
"","2","initBeforeMethod","Surefire suite","2026-08-18","broken","2026-08-18","com.example.tests.AuthTests","Surefire test","com.example.tests.AuthTests","initBeforeMethod"
