"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Страница авторизации","Авторизация пользователя","Проверка корректного входа в систему","0","0","1","0","0"
"Страница авторизации","Авторизация пользователя","Проверка корректности обработки неверных данных","0","0","2","0","0"
